,n Clustering Iterations,k2,n Transition Matrix,Metric 1,Metric 2 (Checkout),Metric 2 (Checkin)
0,1.0,8.0,1.0,0.009489056321399205,0.012552831591903936,0.01290065917520033
1,1.0,8.0,24.0,0.01955779239699158,0.021511206988669637,0.022515272210942208
2,1.0,8.0,48.0,0.022584147502675123,0.0239868855795401,0.024629753673203723
3,1.0,12.0,1.0,0.009069919118929723,0.011953672635460481,0.012225871424388541
4,1.0,12.0,24.0,0.01885558095275631,0.02072538313731865,0.02170936828266873
5,1.0,12.0,48.0,0.021805894781242494,0.023210926088153113,0.023829277790464596
6,1.0,16.0,1.0,0.00888294298913629,0.011632658437848213,0.012014526884464062
7,1.0,16.0,24.0,0.018534171607746893,0.020247125780838218,0.02121514473123552
8,1.0,16.0,48.0,0.021412209390969047,0.02261664263208259,0.023254664975218848
9,5.0,8.0,1.0,0.009627901720588713,0.012230463294300864,0.012575062299293257
10,5.0,8.0,24.0,0.019615334938179015,0.02126444916138782,0.022314766336672304
11,5.0,8.0,48.0,0.0225830531534555,0.023776526954000513,0.024433488037708704
12,5.0,12.0,1.0,0.009432557723893042,0.012114124627426273,0.012430102199659081
13,5.0,12.0,24.0,0.019582658874263557,0.021271031784903385,0.02225960716952305
14,5.0,12.0,48.0,0.022602254925913653,0.023765033214576774,0.024411264212282728
15,5.0,16.0,1.0,0.009243947429082877,0.012302202283398537,0.012599693206772627
16,5.0,16.0,24.0,0.019231098888381617,0.021316955344878687,0.022278087918489495
17,5.0,16.0,48.0,0.02224726259824993,0.023839939429624986,0.024425438067658057
18,10.0,8.0,1.0,0.00965521585197482,0.012716086058773553,0.013167447575598984
19,10.0,8.0,24.0,0.019581014771759418,0.022074933409452012,0.0231477816698731
20,10.0,8.0,48.0,0.022688131159118368,0.024611578779673595,0.025293841095693697
21,10.0,12.0,1.0,0.009587877090884439,0.01274396360099231,0.013080899079112815
22,10.0,12.0,24.0,0.01969721949178819,0.021894917426051718,0.02288291006149851
23,10.0,12.0,48.0,0.022802800405648204,0.02446689254101374,0.025120504037842634
24,10.0,16.0,1.0,0.00899138786253859,0.011931106289729258,0.012192544270970695
25,10.0,16.0,24.0,0.01888157769085112,0.020770905287331894,0.02171049453193989
26,10.0,16.0,48.0,0.02180721419726044,0.023183137935685594,0.023767627464138758
27,15.0,8.0,1.0,0.009732104425331779,0.012625651912309535,0.012934264693134252
28,15.0,8.0,24.0,0.019868664928553284,0.021906654317687915,0.022932462540155907
29,15.0,8.0,48.0,0.02290148845488485,0.02444839973193148,0.025092614759816636
30,15.0,12.0,1.0,0.009355795970129541,0.012381167139075422,0.012732135238522565
31,15.0,12.0,24.0,0.019401992143894178,0.021307897821848713,0.02233334190809815
32,15.0,12.0,48.0,0.02239163566375603,0.023818496751459674,0.024484723293942978
33,15.0,16.0,1.0,0.009190801512682416,0.011995739024360642,0.012301922003902102
34,15.0,16.0,24.0,0.01917904913965901,0.021174835676060863,0.02214324989757249
35,15.0,16.0,48.0,0.022211892494769115,0.023683488465631165,0.024305728907684662
36,20.0,8.0,1.0,0.009992272768570266,0.013097596004268913,0.013617509564622004
37,20.0,8.0,24.0,0.02029021631254351,0.02226288953295182,0.02338586457862982
38,20.0,8.0,48.0,0.02340509553474752,0.024779363445325747,0.025489748394360492
39,20.0,12.0,1.0,0.009458421604975767,0.013013307641493253,0.01328709947631521
40,20.0,12.0,24.0,0.01956758033343012,0.022043691266828737,0.023025416447254823
41,20.0,12.0,48.0,0.022638458662024578,0.02457086777252237,0.025236867457027433
42,20.0,16.0,1.0,0.009969556062105131,0.013477155766059063,0.013712136944955067
43,20.0,16.0,24.0,0.021023277985793124,0.023224847162597338,0.024184002873774903
44,20.0,16.0,48.0,0.024358345098165538,0.025897169120742178,0.026516154127773826
