,station_id,station_na,lat,lon,neighborhood_id,FSA_code,da_id,cluster
134,7220,Lake Shore Blvd W / Ellis Ave,43.635932,-79.465083,85,M6S,35201466.0,19
135,7174,Bloor St W / Dundas St W,43.6563889,-79.45166667,86,M6R,35201406.0,20
136,7086,High Park - West Rd,43.6525077,-79.4654233,87,M6S,35201312.0,17
137,7282,Adelaide St W / Bay St - SMART,43.650152,-79.379856,76,M5H,35200855.0,13
138,7015,King St W / Bay St (West Side),43.64852,-79.380576,76,M5H,35200855.0,24
139,7075,Queens Quay W / Dan Leckie Way,43.636533,-79.395854,77,M5V,,29
140,7289,Humber Bay Shores Park East,43.6308933,-79.4722622,17,M8V,35204675.0,19
141,7203,Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,82,M5V,35204873.0,29
142,7168,Queens Quay / Yonge St,43.641646,-79.375308,77,M5J,35204899.0,13
143,7133,Summerhill Station,43.681944,-79.390556,98,M4T,35204509.0,9
144,7023,College St / Borden St,43.6571,-79.4056,79,M5S,35200908.0,6
145,7111,King St W / Douro St,43.640885,-79.416379,82,M6K,35203160.0,28
146,7240,Bloor St W / Shaw Ave - SMART,43.662403,-79.423098,80,M6G,35201020.0,35
147,7102,Nelson St / Duncan St,43.648711,-79.389728,77,M5V,35204843.0,27
148,7320,Front St W / University Ave (1),43.6451635,-79.3831757,76,M5H,35200855.0,24
149,7259,Lower Spadina Ave / Lake Shore Blvd,43.638497,-79.39192,77,M5J,35204827.0,29
150,7003,Madison Ave / Bloor St W,43.667158,-79.402761,95,M5R,35201034.0,8
151,7373,George St / King St E,43.6509552,-79.3707,73,M5A,35204230.0,13
152,7329,Crawford St / Queen St W,43.645665,-79.415345,81,M6J,35201439.0,32
153,7182,Sterling Rd / Dundas St W,43.65083333,-79.44305556,83,M6P,35200952.0,21
154,7179,Bloor GO / UP Station (West Toronto Railpath),43.6575,-79.45027778,93,M6P,35200957.0,20
155,7142,Bridgeman Ave / Bathurst St,43.674444,-79.414722,96,M5R,35202808.0,33
156,7250,St. George St / Russell St - SMART,43.660296,-79.397107,79,M5S,35204157.0,6
157,7095,Danforth Ave / Ellerbeck St,43.677076,-79.35667,67,M4K,35200741.0,11
158,7058,Huron/ Harbord St,43.6637,-79.400053,79,M5S,35204157.0,8
159,7284,University Ave / King St W - SMART,43.6477785,-79.3847928,76,M5H,35200855.0,13
160,7031,Jarvis St / Isabella St,43.668991,-79.379385,74,M4Y,35200757.0,0
161,7245,Tecumseth St / Queen St W - SMART,43.646552,-79.406468,82,M6J,35204186.0,23
162,7269,Toronto Eaton Centre (Yonge St),43.655431,-79.380653,76,M5G,35204616.0,13
163,7334,Simcoe St / Wellington St North,43.6462176,-79.3855048,76,M5H,35200855.0,24
164,7114,Carlton St / Parliament St,43.664524,-79.36793,71,M5A,35200797.0,3
165,7050,Richmond St E / Jarvis St Green P,43.652634,-79.374222,75,M5C,35200821.0,2
166,7386,D'Arcy St. /McCaul St. SMART,43.655227,-79.39201,78,M5T,35200899.0,7
167,7383,12 Harbour St,43.6425636,-79.3762,77,M5J,35204900.0,13
168,7206,Claremont St / Dundas St W,43.651281,-79.411717,81,M6J,35201438.0,35
169,7004,University Ave / Elm St,43.656518,-79.389099,78,M5G,35204617.0,7
170,7026,Bay St / St. Joseph St,43.665527,-79.387499,76,M5S,35204595.0,5
171,7136,Queen St W / Close Ave,43.640634,-79.435841,85,M6K,35204661.0,32
172,7188,Exhibition GO (Atlantic Ave),43.63666667,-79.41972222,82,M6K,35204872.0,32
173,7227,Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304,85,M6S,35201466.0,19
174,7344,Cherry Beach,43.637764,-79.345359,70,M4M,35204634.0,16
175,7230,Garden Ave / Roncesvalles Ave,43.643769,-79.447915,86,M6R,35201350.0,21
176,7297,Havelock St / Dufferin Park,43.657343,-79.43112,83,M6H,35203837.0,32
177,7172,Strachan Ave / Princes' Blvd,43.635,-79.40888889,82,M5V,35204873.0,28
178,7008,Wellesley St / Queen's Park Cres,43.663376,-79.392125,76,M5S,35204901.0,5
179,7190,St. George St / Hoskin Ave,43.6637403,-79.3980645,79,M5S,35204157.0,8
180,7084,High Park - Grenadier Cafe,43.645599,-79.4657123,87,M6S,35201312.0,19
181,7178,Dundas St W / Edna Ave,43.657192,-79.452559,88,M6P,35201362.0,20
182,7257,Dundas St W / St. Patrick St,43.6545174,-79.3895315,78,M5T,35204018.0,7
183,7258,Queen St E / Larchmount Ave,43.6625,-79.334297,70,M4M,35203203.0,30
184,7391,Yonge St / Dundas Sq,43.655766,-79.3802,75,M5B,35204615.0,2
185,7039,Simcoe St / Michael Sweet Ave - SMART,43.65232722,-79.38825382,78,M5T,35204018.0,24
186,7323,457 King St. W. at Spadina,43.6452091,-79.3960744,77,M5V,35204894.0,27
187,7048,Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,77,M5J,35204896.0,13
188,7067,Yonge St / Harbour St,43.643795,-79.375413,77,M5E,35204898.0,13
189,7191,Central Tech  (Harbord St),43.661975,-79.407896,79,M5S,35201029.0,8
190,7169,Front St W / Bay St (North Side),43.646162,-79.378912,76,M5H,35200855.0,24
191,7107,Cherry St / Distillery Ln,43.650279,-79.356832,77,M5A,35203175.0,14
